grdiname,site,expt,layer,GPS Latitude Coordinate (N),GPS Longitude Coordinate (W),MeanAnnTempC,MeanAnnPrecipMM
NZC85_20160701_1C3E_11B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_12B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_13B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_14B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_15B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_16B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_21B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_22B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_23B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_24B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_25B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_26B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_31B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_32B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_33B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_34B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_35B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_36B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_41B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_42B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_43B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_44B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_45B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_46B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_51B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_52B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_53B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_54B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_55B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_56B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_61B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_62B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_63B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_64B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_65B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_66B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_11O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_12O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_13O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_14O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_15O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_16O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_21O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_22O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_23O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_24O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_25O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_26O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_31O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_32O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_33O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_34O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_35O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_36O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_41O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_42O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_43O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_44O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_45O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_46O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_51O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_52O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_53O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_54O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_55O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_56O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_61O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_62O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_63O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_64O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_65O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_66O,NZC85,1C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_11M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_12M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_13M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_14M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_15M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_16M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_21M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_22M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_23M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_24M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_25M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_26M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_31M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_32M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_33M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_34M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_35M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_36M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_41M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_42M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_43M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_44M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_45M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_46M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_51M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_52M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_53M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_54M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_55M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_56M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_61M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_62M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_63M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_64M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_65M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_66M,NZC85,1C3E,Mineral,47.6358,83.24617,1.7,797
ILC45_20160701_1C3E_11B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_12B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_13B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_14B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_15B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_16B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_21B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_22B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_23B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_24B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_25B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_26B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_31B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_32B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_33B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_34B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_35B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_36B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_41B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_42B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_43B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_44B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_45B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_46B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_51B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_52B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_53B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_54B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_55B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_56B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_61B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_62B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_63B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_64B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_65B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_66B,ILC45,1C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_11O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_12O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_13O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_14O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_15O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_16O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_21O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_22O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_23O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_24O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_25O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_26O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_31O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_32O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_33O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_34O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_35O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_36O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_41O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_42O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_43O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_44O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_45O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_46O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_51O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_52O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_53O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_54O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_55O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_56O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_61O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_62O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_63O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_64O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_65O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_66O,ILC45,1C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_11M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_12M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_13M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_14M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_15M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_16M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_21M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_22M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_23M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_24M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_25M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_26M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
